strategy,Hits@4,MAP@4,MRR@4,questions_count,chunks_count,avg_chunk_len,median_chunk_len,min_chunk_len,max_chunk_len,chunking_time_sec,index_time_sec,retrieval_time_sec
semantic,0.37362637362637363,0.12416056166056168,0.24633699633699635,91,19978,313.3354690159175,358.0,1,512,2264.131,1588.973,8.243
recursive,0.3626373626373626,0.11294261294261296,0.2573260073260073,91,17415,359.80005742176286,398.0,3,512,1.862,1289.33,8.586
nltk_sentence,0.34065934065934067,0.09974053724053722,0.21245421245421245,91,14588,429.33575541540995,447.0,3,1700,6.82,1505.869,9.611
fixed,0.32967032967032966,0.08516483516483517,0.19505494505494506,91,12601,499.3965558289025,512.0,1,512,41.928,2395.32,19.988
