strategy,Hits@4,MAP@4,MRR@4,questions_count,chunks_count,avg_chunk_len,median_chunk_len,min_chunk_len,max_chunk_len,chunking_time_sec,index_time_sec,retrieval_time_sec
fixed,0.62,0.4102777777777778,0.4366666666666667,100,12601,499.3965558289025,512.0,1,512,41.928,2395.32,19.988
nltk_sentence,0.55,0.34805555555555556,0.36083333333333334,100,14588,429.33575541540995,447.0,3,1700,6.82,1505.869,9.611
recursive,0.54,0.38638888888888884,0.4,100,17415,359.80005742176286,398.0,3,512,1.862,1289.33,8.586
semantic,0.54,0.36138888888888887,0.3675,100,19978,313.3354690159175,358.0,1,512,2264.131,1588.973,8.243
